2605 24944
705 raise 3
706 risked 1
707 sticking 1
708 new 12
709 method 1
710 game 1
711 rock 1
712 forth 3
713 help 16
714 two 27
715 strong 4
716 maid 8
717 mind 4
718 under 19
719 dome 1
720 peel 1
721 load 2
722 patient 5
723 careful 4
724 swang 2
725 floor 22
726 hopefully 1
727 find 6
728 use 9
729 really 23
730 call 4
731 locked 5
732 difficulty 4
733 suppress 1
734 smile 4
735 moved 11
736 far 9
737 across 8
738 balance 1
739 rocked 1
740 ten 2
741 final 1
742 decision 4
743 ring 1
744 flat 20
745 someone 6
746 froze 2
747 danced 1
748 around 20
749 remained 11
750 quiet 10
751 're 11
752 caught 3
753 nonsensical 1
754 course 15
755 firm 3
756 steps 5
757 opened 16
758 needed 8
759 hear 13
760 visitor 2
761 greeting 1
762 knew 8
763 chief 37
764 clerk 37
765 why 9
766 condemned 1
767 immediately 16
768 highly 4
769 shortcoming 1
770 employees 4
771 every 12
772 louts 1
773 faithful 1
774 devoted 1
775 pangs 1
776 conscience 1
777 spend 3
778 least 11
779 couple 2
780 hours 8
781 trainees 1
782 enquiries 2
783 assuming 1
784 necessary 5
785 show 5
786 innocent 2
787 trusted 1
788 wisdom 1
789 investigate 1
790 upset 3
791 thump 1
792 wasn't 1
793 softened 1
794 also 15
795 elastic 1
796 sound 7
797 muffled 1
798 noticeable 1
799 held 14
800 annoyed 4
801 rubbed 2
802 fallen 4
803 left 31
804 concede 1
805 gruff 1
806 reply 2
807 question 7
808 footsteps 1
809 polished 2
810 boots 2
811 adjoining 1
812 here 19
813 daring 1
814 has 4
815 wants 3
816 leave 12
817 we 34
818 say 18
819 anyway 6
820 speak 8
821 personally 1
822 please 8
823 i'm 3
824 sure 6
825 good 19
826 forgive 1
827 untidiness 1
828 mr. 22
829 isn't 1
830 continued 2
831 believe 2
832 else 8
833 missed 1
834 lad 1
835 thinks 1
836 nearly 8
837 cross 1
838 goes 1
839 evenings 4
840 town 3
841 week 2
842 stayed 5
843 evening 18
844 sits 1
845 us 11
846 kitchen 11
847 reads 1
848 paper 2
849 studies 1
850 timetables 1
851 idea 5
852 relaxation 2
853 working 4
854 fretsaw 2
855 three 25
856 amazed 4
857 hanging 2
858 opens 1
859 glad 5
860 wouldn't 1
861 ourselves 2
862 stubborn 2
863 thoughtfully 1
864 miss 1
865 explaining 3
866 mrs. 10
867 it's 3
868 hand 22
869 commerce 1
870 unwell 2
871 fortunately 2
872 simply 7
873 considerations 1
874 asked 16
875 impatiently 1
876 silence 3
877 cry 2
878 join 1
879 she 199
880 begun 1
881 crying 3
882 danger 2
883 losing 1
884 job 8
885 pursue 1
886 demands 1
887 worry 4
888 intention 3
889 abandoning 2
890 condition 8
891 seriously 5
892 minor 1
893 discourtesy 1
894 suitable 3
895 excuse 2
896 sacked 2
897 disturbing 1
898 happening 4
899 worried 2
900 behaviour 3
901 barricade 1
902 yourself 2
903 causing 3
904 unnecessary 2
905 fail 2
906 mention 1
907 duties 1
908 unheard 2
909 speaking 5
910 behalf 2
911 employer 3
912 request 1
913 clear 11
914 immediate 3
915 am 3
916 astonished 4
917 person 2
918 suddenly 9
919 seem 4
920 showing 2
921 peculiar 1
922 whims 1
923 suggest 1
924 reason 12
925 failure 2
926 appear 2
927 entrusted 1
928 giving 3
929 honour 1
930 incomprehensible 1
931 stubbornness 2
932 wish 3
933 whatsoever 1
934 intercede 1
935 nor 3
936 secure 1
937 originally 1
938 intended 2
939 private 1
940 since 9
941 cause 2
942 waste 3
943 learn 3
944 turnover 1
945 unsatisfactory 1
946 late 5
947 grant 2
948 year 6
949 recognise 1
950 allow 1
951 sir 3
952 beside 5
953 forgetting 2
954 excitement 1
955 attack 2
956 dizziness 1
957 easy 7
958 alright 5
959 shocking 3
960 symptom 1
961 illness 1
962 staying 2
963 suffer 3
964 basis 1
965 accusations 1
966 nobody 5
967 read 1
968 latest 1
969 contracts 1
970 sent 3
971 eight 2
972 few 10
973 strength 7
974 wait 5
975 recommend 1
976 gushed 1
977 knowing 7
978 practise 1
979 insistent 2
980 curious 2
981 sight 7
982 gregor's 9
983 responsibility 1
984 calmly 3
985 hurried 8
986 station 1
987 climb 2
988 smooth 1
989 gave 6
990 swing 2
991 stood 14
992 attention 14
993 nearby 1
994 chair 16
995 tightly 2
996 edges 1
997 calmed 2
998 listen 6
999 understand 12
1000 surely 2
1001 fools 1
1002 tears 9
1003 grete 25
1004 cried 2
1005 communicated 1
1006 straight 18
1007 quick 2
1008 spoke 2
1009 animal 4
1010 calmness 1
1011 contrast 3
1012 mother's 2
1013 screams 1
1014 anna 2
1015 entrance 4
1016 hall 7
1017 clapping 1
1018 locksmith 4
1019 girls 2
1020 skirts 4
1021 swishing 1
1022 ran 11
1023 wrenching 1
1024 front 17
1025 banging 1
1026 homes 1
1027 awful 1
1028 calmer 1
1029 couldn't 1
1030 clearer 1
1031 ears 1
1032 realised 9
1033 response 1
1034 situation 4
1035 confident 1
1036 wise 1
1037 drawn 3
1038 among 1
1039 great 10
1040 surprising 2
1041 achievements 1
1042 distinguish 1
1043 crucial 1
1044 coughed 1
1045 taking 9
1046 care 1
1047 loudly 5
1048 coughs 1
1049 judge 2
1050 meanwhile 3
1051 whispering 2
1052 pressed 14
1053 listening 6
1054 holding 5
1055 using 5
1056 adhesive 2
1057 tips 1
1058 rested 2
1059 recover 1
1060 involved 1
1061 key 11
1062 lock 8
1063 mouth 8
1064 teeth 4
1065 grasp 2
1066 lack 4
1067 jaw 2
1068 start 5
1069 ignoring 2
1070 kind 7
1071 damage 2
1072 fluid 1
1073 flowed 3
1074 dripped 1
1075 greatly 1
1076 encouraged 1
1077 calling 1
1078 hold 6
1079 excitedly 2
1080 following 3
1081 efforts 3
1082 paying 1
1083 snapped 1
1084 break 4
1085 concentration 2
1086 regained 1
1087 breath 7
1088 handle 2
1089 wide 4
1090 turn 10
1091 double 2
1092 entering 2
1093 occupied 3
1094 movement 4
1095 exclaim 1
1096 sounded 2
1097 soughing 1
1098 wind 1
1099 nearest 1
1100 retreating 1
1101 driven 2
1102 steady 2
1103 invisible 1
1104 hair 3
1105 dishevelled 1
1106 unfolded 2
1107 sank 2
1108 disappeared 5
1109 breast 1
1110 hostile 1
1111 clenched 1
1112 fists 2
1113 wanting 2
1114 uncertainly 1
1115 living 18
1116 wept 1
1117 powerful 1
1118 shook 2
1119 leant 8
1120 bolted 2
1121 along 5
1122 peered 1
1123 lighter 1
1124 endless 1
1125 grey-black 1
1126 building 1
1127 hospital 2
1128 austere 1
1129 regular 1
1130 line 3
1131 windows 2
1132 piercing 2
1133 facade 1
1134 throwing 1
1135 large 3
1136 droplets 1
1137 ground 7
1138 washing 2
1139 important 3
1140 meal 6
1141 several 8
1142 reading 4
1143 number 1
1144 newspapers 2
1145 wall 5
1146 exactly 4
1147 opposite 2
1148 photograph 1
1149 lieutenant 1
1150 army 1
1151 sword 1
1152 carefree 1
1153 face 14
1154 respect 4
1155 uniform 8
1156 bearing 1
1157 landing 6
1158 stairs 2
1159 below 2
1160 pack 1
1161 commercial 1
1162 traveller 1
1163 arduous 1
1164 earn 6
1165 going 9
1166 accurately 1
1167 temporarily 1
1168 remember 3
1169 achieved 2
1170 removed 2
1171 diligence 1
1172 our 4
1173 trapped 1
1174 take 12
1175 likes 1
1176 travellers 2
1177 enormous 5
1178 wage 1
1179 soft 1
1180 that's 2
1181 prejudice 1
1182 particular 2
1183 overview 2
1184 staff 1
1185 businessman 1
1186 mistakes 1
1187 harshly 1
1188 victim 1
1189 gossip 1
1190 chance 7
1191 groundless 1
1192 complaints 1
1193 impossible 6
1194 defend 1
1195 usually 3
1196 arrive 1
1197 exhausted 2
1198 trip 1
1199 harmful 1
1200 effects 1
1201 partly 3
1202 started 4
1203 protruding 1
1204 lips 2
1205 stared 1
1206 trembling 2
1207 shoulders 3
1208 steadily 1
1209 gradually 1
1210 secret 3
1211 prohibition 1
1212 reached 7
1213 sudden 3
1214 foot 6
1215 rushed 6
1216 panic 2
1217 stretched 4
1218 stairway 2
1219 supernatural 1
1220 waiting 3
1221 save 4
1222 mood 4
1223 extreme 1
1224 convinced 3
1225 provide 3
1226 besides 2
1227 lost 6
1228 future 4
1229 won 1
1230 depended 1
1231 clever 1
1232 lover 1
1233 women 16
1234 persuade 3
1235 talk 4
1236 considering 1
1237 speech 1
1238 understood 3
1239 reach 1
1240 ridiculously 1
1241 banister 2
1242 scream 1
1243 sought 1
1244 landed 3
1245 numerous 1
1246 solid 1
1247 pleasure 7
1248 believing 2
1249 sorrows 1
1250 end 7
1251 urge 5
1252 swayed 2
1253 crouched 1
1254 engrossed 1
1255 herself 18
1256 jumped 2
1257 outstretched 3
1258 fingers 2
1259 shouting 1
1260 pity 1
1261 sake 3
1262 suggested 1
1263 unthinking 1
1264 hurrying 2
1265 backwards 4
1266 forgotten 6
1267 behind 16
1268 seeming 1
1269 coffee 3
1270 pot 1
1271 knocked 1
1272 gush 1
1273 pouring 1
1274 looking 10
1275 snapping 1
1276 jaws 2
1277 flow 1
1278 screaming 2
1279 anew 1
1280 fled 3
1281 spare 5
1282 chin 1
1283 run 2
1284 reaching 1
1285 leapt 1
1286 shouts 1
1287 resounding 1
1288 staircase 1
1289 flight 1
1290 until 13
1291 relatively 3
1292 self 2
1293 controlled 1
1294 running 6
1295 impeding 1
1296 seized 1
1297 stick 5
1298 ( 4
1299 overcoat 2
1300 ) 4
1301 picked 3
1302 newspaper 4
1303 drive 4
1304 stamping 1
1305 appeals 3
1306 humbly 1
1307 merely 4
1308 stamped 2
1309 chilly 1
1310 pulled 5
1311 draught 1
1312 flew 6
1313 curtains 1
1314 fluttered 1
1315 blown 1
1316 stop 5
1317 drove 1
1318 hissing 3
1319 noises 2
1320 wild 1
1321 practice 1
1322 allowed 5
1323 impatient 1
1324 threat 1
1325 lethal 1
1326 choice 2
1327 disgust 1
1328 incapable 1
1329 frequent 2
1330 anxious 1
1331 glances 1
1332 intentions 5
1333 hinder 1
1334 tip 1
1335 distance 3
1336 unbearable 2
1337 confused 2
1338 finished 8
1339 mistake 1
1340 pleased 2
1341 doorway 8
1342 further 3
1343 obviously 4
1344 occur 1
1345 space 2
1346 fixed 1
1347 preparation 1
1348 pleasant 1
1349 experience 2
1350 regard 2
1351 angle 1
1352 flank 1
1353 scraped 1
1354 vile 1
1355 flecks 1
1356 stuck 2
1357 fast 3
1358 quivering 1
1359 hefty 1
1360 shove 3
1361 released 1
1362 flying 1
1363 heavily 3
1364 bleeding 1
1365 slammed 5
1366 ii 1
1367 dark 4
1368 awoke 1
1369 coma-like 1
1370 woken 2
1371 afterwards 2
1372 fully 7
1373 impression 2
1374 leading 2
1375 light 7
1376 electric 2
1377 lamps 1
1378 shone 1
1379 palely 1
1380 ceiling 7
1381 tops 1
1382 furniture 14
1383 feeling 3
1384 clumsily 1
1385 antennae 1
1386 beginning 1
1387 value 1
1388 scar 1
1389 limped 1
1390 badly 2
1391 rows 1
1392 events 1
1393 dragged 2
1394 lifelessly 1
1395 actually 7
1396 smell 3
1397 eat 11
1398 dish 7
1399 filled 5
1400 sweetened 1
1401 milk 6
1402 pieces 2
1403 bread 2
1404 floating 1
1405 laughed 1
1406 dipped 1
1407 covering 1
1408 disappointment 2
1409 tender 2
1410 worked 2
1411 snuffling 1
1412 taste 2
1413 normally 3
1414 favourite 1
1415 drink 1
1416 crawled 4
1417 centre 1
1418 crack 2
1419 gas 1
1420 lit 1
1421 sometimes 7
1422 write 1
1423 recent 1
1424 lead 1
1425 gazing 1
1426 darkness 4
1427 pride 2
1428 such 4
1429 wealth 1
1430 comfort 1
1431 frightening 2
1432 crawling 6
1433 closed 8
1434 enter 3
1435 waited 4
1436 resolved 1
1437 either 5
1438 timorous 1
1439 vain 1
1440 previous 1
1441 everyone 9
1442 unlocked 1
1443 keys 1
1444 gaslight 1
1445 awake 1
1446 distinctly 1
1447 tip-toe 3
1448 plenty 1
1449 undisturbed 1
1450 re-arrange 1
1451 tall 1
1452 empty 4
1453 forced 5
1454 remain 3
1455 uneasy 3
1456 shame 2
1457 couch 17
1458 nonetheless 4
1459 ease 1
1460 regret 3
1461 underneath 1
1462 spent 4
1463 passed 2
1464 frequently 2
1465 hunger 3
1466 vague 1
1467 hopes 1
1468 led 2
1469 conclusion 1
1470 patience 1
1471 greatest 3
1472 bear 4
1473 unpleasantness 1
1474 impose 1
1475 opportunity 2
1476 test 3
1477 decisions 1
1478 ended 1
1479 anxiously 4
1480 flown 1
1481 stranger 2
1482 edge 1
1483 watched 3
1484 realise 3
1485 rather 4
1486 hungry 2
1487 draw 2
1488 terrible 1
1489 feet 4
1490 splashed 2
1491 surprise 5
1492 rag 1
1493 bare 3
1494 carried 5
1495 imagining 1
1496 wildest 1
1497 possibilities 1
1498 guessed 1
1499 goodness 1
1500 brought 4
1501 selection 1
1502 old 12
1503 half-rotten 1
1504 vegetables 2
1505 bones 1
1506 sauce 2
1507 raisins 1
1508 almonds 1
1509 cheese 3
1510 declared 1
1511 inedible 1
1512 days 6
1513 dry 1
1514 roll 1
1515 butter 1
1516 salt 1
1517 poured 1
1518 water 2
1519 permanently 2
1520 aside 2
1521 placed 2
1522 feelings 1
1523 comfortable 3
1524 liked 3
1525 whirred 1
1526 injuries 2
1527 healed 1
1528 month 4
1529 finger 3
1530 knife 1
1531 hurt 2
1532 yesterday 1
1533 less 2
1534 sucking 1
1535 greedily 1
1536 compellingly 1
1537 attracted 1
1538 foods 2
1539 watering 1
1540 consumed 1
1541 stand 8
1542 lethargic 1
1543 withdraw 1
1544 startled 5
1545 asleep 5
1546 self-control 1
1547 rounded 1
1548 breathe 4
1549 suffocating 2
1550 bulging 1
1551 unselfconsciously 1
1552 broom 5
1553 swept 1
1554 left-overs 1
1555 mixing 1
1556 dropped 1
1557 bin 1
1558 lid 1
1559 received 2
1560 second 1
1561 eaten 3
1562 midday 3
1563 send 5
1564 errand 1
1565 starve 1
1566 feeding 1
1567 distress 2
1568 indeed 5
1569 suffering 1
1570 content 1
1571 sighs 1
1572 saints 1
1573 becoming 4
1574 comment 2
1575 construed 1
1576 enjoyed 1
1577 dinner 4
1578 diligently 1
1579 cleared 2
1580 sadly 1
1581 news 3
1582 directly 2
1583 rooms 2
1584 scurry 1
1585 appropriate 1
1586 press 1
1587 seldom 1
1588 mealtime 1
1589 meals 2
1590 subject 1
1591 knees 1
1592 begged 1
1593 delay 3
1594 within 1
1595 hour 2
1596 tearfully 1
1597 thanking 1
1598 dismissal 1
1599 swore 1
1600 emphatically 1
1601 cooking 1
1602 bother 1
1603 ate 3
1604 unsuccessfully 1
1605 receive 2
1606 thanks 2
1607 similar 1
1608 drank 1
1609 beer 1
1610 hoping 1
1611 fetch 4
1612 add 1
1613 selfish 1
1614 housekeeper 1
1615 explained 1
1616 finances 1
1617 prospects 2
1618 receipt 1
1619 document 1
1620 cash 2
1621 box 1
1622 saved 1
1623 collapsed 2
1624 complicated 1
1625 taken 15
1626 item 1
1627 incarcerated 1
1628 misfortune 3
1629 reduced 2
1630 despair 3
1631 arrange 1
1632 fiery 1
1633 vigour 1
1634 junior 1
1635 representative 1
1636 overnight 1
1637 ways 1
1638 converted 1
1639 success 3
1640 benefit 1
1641 delighted 1
1642 splendour 1
1643 earned 3
1644 costs 1
1645 gratitude 2
1646 warm 3
1647 affection 1
1648 return 1
1649 unlike 2
1650 fond 3
1651 music 7
1652 gifted 1
1653 expressive 1
1654 violinist 1
1655 plan 2
1656 conservatory 3
1657 expense 1
1658 periods 1
1659 mentioned 1
1660 lovely 1
1661 decided 4
1662 planned 1
1663 grand 1
1664 announcement 1
1665 christmas 3
1666 totally 7
1667 pointless 1
1668 tired 7
1669 continue 3
1670 wearily 1
1671 pull 3
1672 silent 5
1673 interrupted 2
1674 repeated 3
1675 matters 1
1676 explanations 2
1677 misfortunes 1
1678 available 1
1679 lot 3
1680 meantime 1
1681 interest 3
1682 accumulated 1
1683 keeping 2
1684 accumulating 1
1685 nodded 3
1686 enthusiasm 1
1687 unexpected 2
1688 thrift 1
1689 caution 1
1690 surplus 1
1691 reduce 1
1692 freed 1
1693 closer 3
1694 enable 1
1695 maintain 1
1696 emergencies 1
1697 healthy 1
1698 lacking 1
1699 holiday 2
1700 strain 3
1701 slow 5
1702 clumsy 1
1703 elderly 2
1704 suffered 2
1705 asthma 1
1706 struggling 2
1707 sofa 3
1708 child 3
1709 seventeen 1
1710 till 1
1711 enviable 1
1712 consisting 1
1713 wearing 2
1714 clothes 3
1715 helping 2
1716 joining 1
1717 modest 1
1718 pleasures 1
1719 playing 13
1720 violin 12
1721 cool 1
1722 leather 2
1723 hot 2
1724 lie 2
1725 wink 1
1726 scratching 1
1727 climbing 1
1728 sill 1
1729 propped 1
1730 leaning 1
1731 stare 1
1732 sense 1
1733 freedom 1
1734 experienced 3
1735 distinct 1
1736 ever-present 1
1737 known 2
1738 lived 2
1739 charlottenstrasse 1
1740 middle 11
1741 city 1
1742 barren 1
1743 grey 2
1744 sky 1
1745 earth 1
1746 mingled 1
1747 inseparably 1
1748 observant 1
1749 twice 2
1750 exact 1
1751 tidied 2
1752 inner 1
1753 thank 1
1754 easier 3
1755 naturally 1
1756 pretend 1
1757 burdensome 2
1758 unpleasant 2
1759 entered 1
1760 sooner 1
1761 precaution 1
1762 shivering 1
1763 ordeal 1
1764 transformation 2
1765 appearance 4
1766 staring 2
1767 motionless 1
1768 coming 5
1769 threatened 2
1770 bite 1
1771 hide 1
1772 flee 1
1773 protruded 1
1774 carrying 3
1775 bedsheet 1
1776 arranged 1
1777 bent 6
1778 sheet 6
1779 glimpsed 1
1780 arrangement 2
1781 fourteen 1
1782 appreciated 2
1783 girl 1
1784 somewhat 2
1785 useless 1
1786 behaved 1
1787 improvement 3
1788 visit 1
1789 persuaded 1
1790 listened 2
1791 closely 2
1792 approved 1
1793 unfortunate 1
1794 courage 1
1795 adult 1
1796 appreciation 1
1797 square 1
1798 meters 1
1799 crawl 7
